title,body,labels,status,milestones
[20pt] Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[20pt] Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[3pt] Trees (Adult) - Ash-Black,Create a 3D model of a tree - Ash-Black,task,open,version 0.1
[3pt] Trees (Adult) - Ash-White,Create a 3D model of a tree - Ash-White,task,open,version 0.1
[3pt] Trees (Adult) - Beech,Create a 3D model of a tree - Beech,task,open,version 0.1
[3pt] Trees (Adult) - Birch-Black,Create a 3D model of a tree - Birch-Black,task,open,version 0.1
[3pt] Trees (Adult) - Birch-Paper,Create a 3D model of a tree - Birch-Paper,task,open,version 0.1
[3pt] Trees (Adult) - Birch-Yellow,Create a 3D model of a tree - Birch-Yellow,task,open,version 0.1
[3pt] Trees (Adult) - Buckeye-Yellow,Create a 3D model of a tree - Buckeye-Yellow,task,open,version 0.1
[3pt] Trees (Adult) - Cedar-Eastern-Red-Thuja,Create a 3D model of a tree - Cedar-Eastern-Red-Thuja,task,open,version 0.1
[3pt] Trees (Adult) - Chestnut,Create a 3D model of a tree - Chestnut,task,open,version 0.1
[3pt] Trees (Adult) - Cucumbertree,Create a 3D model of a tree - Cucumbertree,task,open,version 0.1
[3pt] Trees (Adult) - Dogwood-Flowering,Create a 3D model of a tree - Dogwood-Flowering,task,open,version 0.1
[3pt] Trees (Adult) - Elm,Create a 3D model of a tree - Elm,task,open,version 0.1
[3pt] Trees (Adult) - Hemlock-Eastern,Create a 3D model of a tree - Hemlock-Eastern,task,open,version 0.1
[3pt] Trees (Adult) - Hickory-Pecan,Create a 3D model of a tree - Hickory-Pecan,task,open,version 0.1
[3pt] Trees (Adult) - Hickory-Shagbark,Create a 3D model of a tree - Hickory-Shagbark,task,open,version 0.1
[3pt] Trees (Adult) - Juniper-Red-Cedar,Create a 3D model of a tree - Juniper-Red-Cedar,task,open,version 0.1
[3pt] Trees (Adult) - Linden,Create a 3D model of a tree - Linden,task,open,version 0.1
[3pt] Trees (Adult) - Locus-Black,Create a 3D model of a tree - Locus-Black,task,open,version 0.1
[3pt] Trees (Adult) - Locust-Honey,Create a 3D model of a tree - Locust-Honey,task,open,version 0.1
[3pt] Trees (Adult) - Locust-Yellow-Osage-Orange,Create a 3D model of a tree - Locust-Yellow (Osage Orange),task,open,version 0.1
[3pt] Trees (Adult) - Maple-Moosewood,Create a 3D model of a tree - Maple-Moosewood,task,open,version 0.1
[3pt] Trees (Adult) - Maple-Red,Create a 3D model of a tree - Maple-Red,task,open,version 0.1
[3pt] Trees (Adult) - Maple-Silver,Create a 3D model of a tree - Maple-Silver,task,open,version 0.1
[3pt] Trees (Adult) - Maple-Sugar,Create a 3D model of a tree - Maple-Sugar,task,open,version 0.1
[3pt] Trees (Adult) - Oak-Blackjack,Create a 3D model of a tree - Oak-Blackjack,task,open,version 0.1
[3pt] Trees (Adult) - Oak-Red,Create a 3D model of a tree - Oak-Red,task,open,version 0.1
[3pt] Trees (Adult) - Oak-White,Create a 3D model of a tree - Oak-White,task,open,version 0.1
[3pt] Trees (Adult) - Pine-Pitch,Create a 3D model of a tree - Pine-Pitch,task,open,version 0.1
[3pt] Trees (Adult) - Pine-Shortleaf,Create a 3D model of a tree - Pine-Shortleaf,task,open,version 0.1
[3pt] Trees (Adult) - Pine-Table-Mountain,Create a 3D model of a tree - Pine-Table-Mountain,task,open,version 0.1
[3pt] Trees (Adult) - Pine-Virginia,Create a 3D model of a tree - Pine-Virginia,task,open,version 0.1
[3pt] Trees (Adult) - Pine-White,Create a 3D model of a tree - Pine-White,task,open,version 0.1
[3pt] Trees (Adult) - Sassafras,Create a 3D model of a tree - Sassafras,task,open,version 0.1
[3pt] Trees (Adult) - Serviceberry,Create a 3D model of a tree - Serviceberry,task,open,version 0.1
[3pt] Trees (Adult) - Spruce-Black,Create a 3D model of a tree - Spruce-Black,task,open,version 0.1
[3pt] Trees (Adult) - Sumac,Create a 3D model of a tree - Sumac,task,open,version 0.1
[3pt] Trees (Adult) - Sweet-Gum,Create a 3D model of a tree - Sweet-Gum,task,open,version 0.1
[3pt] Trees (Adult) - Sycamore,Create a 3D model of a tree - Sycamore,task,open,version 0.1
[3pt] Trees (Adult) - Tamarack,Create a 3D model of a tree - Tamarack,task,open,version 0.1
[3pt] Trees (Adult) - Tuliptree,Create a 3D model of a tree - Tuliptree,task,open,version 0.1
[3pt] Trees (Adult) - Walnut,Create a 3D model of a tree - Walnut,task,open,version 0.1
[3pt] Trees (Adult) - Willow,Create a 3D model of a tree - Willow,task,open,version 0.1
[3pt] Trees (Various Ages) - Ash-Black,Convert adult tree model into age variations - Ash-Black,task,open,version 0.1
